"PlayerName","Team","POS","ADP","PA","mRBI","mR","mSB","mHR","mOBP","PTS","aPOS","Dollars"
"Jose Pirela","Padres","2B/OF","600.9","158","($25.1)","($25.1)","($4.4)","($16.8)","($2.1)","($73.5)","$19.7","($52.8)"
"Derek Dietrich","Reds","1B/OF","572.1","201","($21.8)","($22.9)","($5.4)","($14.0)","($1.9)","($66.0)","$11.8","($53.2)"
"Pablo Reyes","Pirates","2B/3B/OF","999.0","133","($26.1)","($26.0)","($3.4)","($17.1)","($1.5)","($74.1)","$19.7","($53.4)"
"Juan Lagares","Mets","OF","599.6","264","($21.3)","($22.1)","($2.1)","($16.0)","($4.8)","($66.3)","$11.8","($53.4)"
"Brian Goodwin","Royals","OF","599.3","215","($22.7)","($22.4)","($3.2)","($14.5)","($4.0)","($66.7)","$11.8","($53.9)"
"Hernan Perez","Brewers","2B/3B/SS/OF","463.0","216","($21.7)","($22.6)","($1.7)","($14.9)","($4.8)","($65.6)","$10.5","($54.1)"
"Jose Bautista","","3B/OF","999.0","175","($24.0)","($23.4)","($4.7)","($14.5)","($0.9)","($67.5)","$11.8","($54.7)"
"Alen Hanson","Giants","2B/OF","582.3","132","($26.2)","($26.5)","($2.9)","($17.2)","($2.8)","($75.6)","$19.7","($54.9)"
"Martin Prado","Marlins","3B","600.1","266","($22.1)","($21.2)","($4.8)","($15.9)","($3.6)","($67.7)","$11.8","($55.0)"
"Nicky Delmonico","White Sox","OF","599.6","187","($23.0)","($23.2)","($5.0)","($14.5)","($2.3)","($67.9)","$11.8","($55.1)"
"Nick Martini","Athletics","OF","588.1","234","($23.9)","($21.0)","($4.7)","($17.0)","($1.5)","($68.1)","$11.8","($55.3)"
"Greg Garcia","Padres","2B","999.0","143","($26.8)","($26.2)","($4.7)","($18.0)","($0.6)","($76.2)","$19.7","($55.5)"
"Jake Cave","Twins","OF","570.0","196","($22.8)","($23.0)","($4.5)","($15.0)","($3.2)","($68.5)","$11.8","($55.7)"
"Yairo Munoz","Cardinals","2B/3B/SS/OF","527.3","198","($22.7)","($23.5)","($3.3)","($15.4)","($2.7)","($67.5)","$10.5","($56.0)"
"Dustin Fowler","Athletics","OF","575.4","166","($24.1)","($23.7)","($2.3)","($15.7)","($3.3)","($69.1)","$11.8","($56.3)"
"Matt Holliday","","1B/OF/DH","999.0","175","($23.3)","($23.8)","($5.5)","($14.8)","($1.7)","($69.1)","$11.8","($56.3)"
"Jon Jay","White Sox","OF","592.0","256","($23.9)","($20.9)","($4.2)","($17.4)","($3.1)","($69.5)","$11.8","($56.7)"
"Jose Iglesias","Reds","SS","589.5","223","($22.7)","($22.8)","($2.3)","($17.0)","($3.5)","($68.2)","$10.5","($56.7)"
"David Freese","Dodgers","1B/3B","591.2","175","($23.4)","($24.0)","($5.6)","($15.2)","($1.6)","($69.7)","$11.8","($56.9)"
"Leury Garcia","White Sox","OF","595.3","200","($23.9)","($23.4)","($2.2)","($16.3)","($3.9)","($69.9)","$11.8","($57.0)"
"Jorge Bonifacio","Royals","OF","599.9","194","($23.4)","($23.8)","($5.3)","($15.3)","($2.7)","($70.5)","$11.8","($57.6)"
"Mark Canha","Athletics","OF","596.5","160","($24.0)","($24.2)","($5.1)","($15.0)","($2.2)","($70.5)","$11.8","($57.7)"
"Chris Young","","OF","999.0","167","($23.8)","($24.5)","($4.5)","($14.8)","($3.0)","($70.6)","$11.8","($57.7)"
"David Bote","Cubs","3B","597.4","162","($23.7)","($24.9)","($4.5)","($15.3)","($2.3)","($70.7)","$11.8","($57.9)"
"Kevin Newman","Pirates","SS","595.5","212","($23.7)","($24.2)","($1.4)","($17.8)","($2.9)","($70.0)","$10.5","($58.5)"
"Jake Marisnick","Astros","OF","599.8","161","($24.3)","($24.4)","($3.0)","($15.2)","($4.4)","($71.4)","$11.8","($58.5)"
