"PlayerName","Team","POS","ADP","PA","mRBI","mR","mSB","mHR","mOBP","PTS","aPOS","Dollars"
"Mike Trout","Angels","OF","1.1","595","$6.8","$11.7","$6.1","$9.6","$22.0","$56.3","$11.8","$69.1"
"Mookie Betts","Red Sox","OF","1.9","666","$5.9","$14.2","$10.7","$4.1","$9.9","$44.8","$11.8","$57.6"
"Jose Ramirez","Indians","3B","4.0","656","$7.5","$7.7","$9.4","$3.2","$7.1","$34.9","$11.8","$47.7"
"Bryce Harper","Phillies","OF","17.7","613","$6.2","$6.1","$0.6","$9.4","$11.5","$33.9","$11.8","$46.7"
"Giancarlo Stanton","Yankees","OF/DH","21.5","598","$13.1","$6.4","($4.0)","$16.3","$1.7","$33.3","$11.8","$46.2"
"J.D. Martinez","Red Sox","OF/DH","5.6","591","$11.7","$5.5","($3.3)","$9.5","$5.8","$29.1","$11.8","$42.0"
"Gary Sanchez","Yankees","C","55.3","492","($1.0)","($4.6)","($4.4)","$3.1","($4.7)","($11.7)","$52.4","$41.7"
"Nolan Arenado","Rockies","3B","7.2","653","$11.8","$7.8","($3.8)","$10.2","$2.7","$28.6","$11.8","$41.4"
"Francisco Lindor","Indians","SS","15.6","651","$3.5","$8.9","$7.2","$4.3","$2.8","$26.6","$10.5","$38.1"
"Aaron Judge","Yankees","OF","15.1","619","$5.0","$6.8","($1.2)","$9.1","$5.2","$25.0","$11.8","$37.8"
"Christian Yelich","Brewers","OF","6.9","637","$2.9","$6.8","$3.9","$2.2","$8.5","$24.4","$11.8","$37.2"
"Yasmani Grandal","Brewers","C","122.4","496","($4.7)","($7.0)","($4.4)","($0.7)","($0.6)","($17.3)","$52.4","$36.1"
"Anthony Rizzo","Cubs","1B","37.2","640","$5.4","$6.5","($1.4)","$4.6","$9.6","$24.7","$10.3","$36.0"
"J.T. Realmuto","Phillies","C","46.7","535","($2.5)","($5.3)","($2.7)","($2.9)","($4.6)","($17.9)","$52.4","$35.5"
"Rhys Hoskins","Phillies","OF","39.5","644","$8.2","$4.6","($2.4)","$9.8","$1.2","$21.4","$11.8","$34.2"
"Ronald Acuna Jr.","Braves","OF","8.7","652","$1.2","$6.7","$9.8","$3.6","$0.0","$21.2","$11.8","$34.0"
"Paul Goldschmidt","Cardinals","1B","18.4","644","$3.7","$4.9","$1.0","$2.2","$9.7","$21.6","$10.3","$32.9"
"Juan Soto","Nationals","OF","35.4","601","$3.5","$3.8","($1.7)","$2.7","$11.0","$19.3","$11.8","$32.1"
"Kris Bryant","Cubs","3B/OF","32.0","626","$3.1","$5.8","($1.6)","$3.3","$8.7","$19.2","$11.8","$31.9"
"Alex Bregman","Astros","3B/SS","13.8","649","$4.7","$7.2","$1.0","$1.5","$6.0","$20.4","$10.5","$31.9"
"Jose Altuve","Astros","2B","14.2","649","$0.6","$4.9","$5.6","($5.6)","$5.5","$11.1","$19.7","$31.7"
"Freddie Freeman","Braves","1B","21.0","646","$5.1","$4.9","($0.8)","$2.2","$8.3","$19.8","$10.3","$31.1"
"Trea Turner","Nationals","SS","7.1","658","($4.4)","$7.0","$20.8","($5.5)","$0.8","$18.7","$10.5","$30.2"
"Trevor Story","Rockies","SS","17.0","607","$6.9","$2.6","$5.9","$5.3","($2.7)","$18.0","$10.5","$29.5"
"Buster Posey","Giants","C","145.0","531","($7.6)","($7.5)","($3.3)","($9.4)","$3.6","($24.2)","$52.4","$29.2"
"Manny Machado","Padres","SS","18.8","637","$6.0","$3.7","($0.1)","$7.0","$0.7","$17.3","$10.5","$28.8"
"Charlie Blackmon","Rockies","OF","27.7","678","($0.2)","$9.9","$2.6","$1.7","$1.9","$15.8","$11.8","$28.6"
"Cody Bellinger","Dodgers","1B/OF","44.6","627","$6.4","$2.3","$1.0","$6.1","($1.0)","$14.8","$11.8","$27.6"
"Andrew Benintendi","Red Sox","OF","29.3","655","($1.2)","$8.6","$6.0","($4.5)","$4.9","$13.8","$11.8","$26.7"
"Joey Gallo","Rangers","1B/OF","101.3","573","$5.3","$1.0","($2.0)","$11.4","($2.8)","$12.9","$11.8","$25.7"
"Joey Votto","Reds","1B","64.8","640","$0.3","$4.3","($4.1)","($1.8)","$15.8","$14.4","$10.3","$25.7"
"Nelson Cruz","Twins","DH","96.8","597","$9.0","$3.3","($5.1)","$9.0","$3.4","$19.8","$3.1","$23.9"
"Daniel Murphy","Rockies","2B","66.3","602","$2.0","$2.6","($3.8)","($1.4)","$3.2","$2.6","$19.7","$23.3"
"Yasiel Puig","Reds","OF","70.8","576","$3.1","($0.4)","$3.6","$2.8","$1.1","$10.2","$11.8","$23.1"
"Willson Contreras","Cubs","C","135.0","468","($8.5)","($10.3)","($3.2)","($7.7)","($1.3)","($31.0)","$52.4","$22.4"
"Andrew McCutchen","Phillies","OF","139.9","598","$0.0","$1.5","$1.2","$1.7","$3.6","$8.1","$11.8","$20.9"
"Javier Baez","Cubs","2B/3B/SS","17.1","627","$6.3","$1.3","$5.1","$4.4","($8.2)","$8.9","$10.5","$20.4"
"Rougned Odor","Rangers","2B","130.2","622","$2.2","($0.7)","$4.3","$3.0","($9.7)","($0.9)","$19.7","$19.8"
"Yadier Molina","Cardinals","C","145.5","497","($7.6)","($10.2)","($2.5)","($7.8)","($5.8)","($34.0)","$52.4","$19.4"
"Matt Olson","Athletics","1B","111.9","628","$5.7","$2.1","($4.4)","$7.0","($2.5)","$7.9","$10.3","$19.2"
"Khris Davis","Athletics","DH","44.1","637","$10.1","$3.6","($5.0)","$12.3","($5.9)","$15.0","$3.1","$19.1"
"Travis Shaw","Brewers","2B/3B","98.5","598","$2.4","($1.5)","($2.4)","$2.6","($2.9)","($1.9)","$19.7","$18.8"
"George Springer","Astros","OF","63.5","620","($2.3)","$5.5","($0.7)","$1.4","$1.7","$5.6","$11.8","$18.4"
"Eugenio Suarez","Reds","3B","54.6","625","$4.0","$0.9","($3.5)","$3.4","$0.4","$5.3","$11.8","$18.0"
"Matt Carpenter","Cardinals","1B/3B","73.9","627","($3.5)","$5.0","($3.4)","$0.1","$6.3","$4.6","$11.8","$17.4"
"Carlos Santana","Indians","1B","201.8","628","$2.0","$2.5","($4.0)","$0.6","$4.9","$6.0","$10.3","$17.3"
"Anthony Rendon","Nationals","3B","43.4","595","$1.0","$1.1","($2.9)","($1.9)","$6.0","$3.3","$11.8","$16.1"
"Starling Marte","Pirates","OF","36.0","610","($4.0)","$0.0","$15.5","($5.6)","($3.0)","$2.9","$11.8","$15.8"
"Marcell Ozuna","Cardinals","OF","79.7","601","$5.1","($0.7)","($4.4)","$2.4","($0.4)","$2.0","$11.8","$14.9"
"Whit Merrifield","Royals","2B/OF","30.8","663","($7.6)","$1.7","$14.1","($9.7)","($4.4)","($6.0)","$19.7","$14.7"
"Kyle Schwarber","Cubs","OF","214.0","555","$0.5","($1.9)","($2.8)","$4.4","$1.5","$1.7","$11.8","$14.6"
"Wilson Ramos","Mets","C","132.0","420","($9.1)","($12.9)","($5.4)","($5.8)","($5.7)","($38.9)","$52.4","$14.5"
"Xander Bogaerts","Red Sox","SS","48.2","616","$2.1","$1.9","$0.3","($3.8)","$2.1","$2.5","$10.5","$14.1"
"Jose Abreu","White Sox","1B","86.4","615","$5.0","$0.2","($4.6)","$3.1","($1.8)","$2.0","$10.3","$13.3"
"Tommy Pham","Rays","OF","57.0","604","($2.9)","($0.2)","$4.8","($2.7)","$1.2","$0.2","$11.8","$13.0"
"Josh Donaldson","Braves","3B","102.0","556","($1.8)","($0.1)","($3.5)","$1.6","$3.7","$0.1","$11.8","$12.9"
"Ozzie Albies","Braves","2B","60.1","618","($1.9)","($0.6)","$4.1","($4.0)","($5.4)","($7.9)","$19.7","$12.8"
"Matt Chapman","Athletics","3B","113.6","627","$2.9","$1.9","($3.3)","$3.1","($5.0)","($0.5)","$11.8","$12.3"
"Justin Turner","Dodgers","3B","109.0","589","$0.2","($0.2)","($3.5)","($2.6)","$5.5","($0.6)","$11.8","$12.2"
"Mike Zunino","Rays","C","240.7","426","($9.7)","($12.5)","($5.2)","($3.3)","($10.6)","($41.2)","$52.4","$12.2"
"Adalberto Mondesi","Royals","SS","39.5","591","($3.5)","($2.0)","$21.0","($2.4)","($12.5)","$0.6","$10.5","$12.1"
"Danny Jansen","Blue Jays","C","182.3","397","($13.2)","($12.9)","($3.9)","($9.6)","($1.8)","($41.4)","$52.4","$12.0"
"Justin Upton","Angels","OF","101.6","594","$2.3","($0.9)","($1.1)","$3.1","($4.5)","($1.1)","$11.8","$11.8"
"Shin-Soo Choo","Rangers","OF/DH","288.9","654","($3.5)","$3.5","($1.3)","($2.3)","$2.5","($1.1)","$11.8","$11.7"
"Corey Seager","Dodgers","SS","85.0","610","($2.3)","$3.7","($3.4)","($1.3)","$2.9","($0.4)","$10.5","$11.1"
"Robinson Cano","Mets","2B","125.6","614","$0.5","($1.8)","($5.1)","($1.3)","($1.9)","($9.6)","$19.7","$11.1"
"Nicholas Castellanos","Tigers","OF","96.6","638","$4.2","$0.7","($3.8)","$0.0","($2.9)","($1.8)","$11.8","$11.0"
"Michael Conforto","Mets","OF","106.9","604","$0.6","($1.4)","($3.3)","$2.2","($0.4)","($2.3)","$11.8","$10.5"
"Vladimir Guerrero Jr.","Blue Jays","3B","43.7","535","($0.6)","($2.0)","($2.7)","($1.6)","$4.5","($2.4)","$11.8","$10.4"
"Mike Moustakas","Brewers","3B","141.7","575","$3.9","($1.7)","($4.1)","$5.3","($5.9)","($2.5)","$11.8","$10.3"
"Nomar Mazara","Rangers","OF","158.6","615","$3.3","($0.4)","($4.5)","$1.2","($2.2)","($2.7)","$11.8","$10.2"
"Mitch Haniger","Mariners","OF","95.6","637","$0.2","$0.7","($1.6)","($0.7)","($1.8)","($3.1)","$11.8","$9.7"
"Lorenzo Cain","Brewers","OF","61.2","620","($8.3)","$2.4","$7.9","($7.8)","$2.3","($3.5)","$11.8","$9.3"
"Eddie Rosario","Twins","OF","86.4","612","$2.9","$0.2","($0.4)","$0.4","($6.9)","($3.8)","$11.8","$9.1"
"Gleyber Torres","Yankees","2B/SS","67.0","562","($2.4)","($3.5)","($0.3)","($1.7)","($4.0)","($11.9)","$19.7","$8.8"
"Carlos Correa","Astros","SS","49.3","568","$0.8","($0.8)","($3.3)","($0.8)","$1.3","($2.8)","$10.5","$8.7"
"Wil Myers","Padres","3B/OF","105.1","606","($2.1)","($1.7)","$5.3","($0.3)","($6.0)","($4.7)","$11.8","$8.1"
"Aaron Hicks","Yankees","OF","119.1","578","($3.8)","$0.0","$0.5","($2.2)","$0.4","($5.1)","$11.8","$7.7"
"Yoan Moncada","White Sox","2B","155.1","621","($6.1)","($1.5)","$4.2","($4.4)","($5.6)","($13.3)","$19.7","$7.4"
"David Peralta","Diamondbacks","OF","140.1","614","($1.4)","$0.3","($2.8)","($1.7)","($0.6)","($6.2)","$11.8","$6.7"
"Miguel Cabrera","Tigers","1B","162.0","559","($0.6)","($2.3)","($5.0)","($1.6)","$4.8","($4.7)","$10.3","$6.6"
"Josh Bell","Pirates","1B","265.8","623","($0.3)","($1.5)","($2.6)","($3.6)","$3.1","($4.9)","$10.3","$6.4"
"Tucker Barnhart","Reds","C","268.4","458","($12.8)","($13.8)","($4.2)","($12.1)","($4.3)","($47.1)","$52.4","$6.2"
"Brian Dozier","Nationals","2B","141.6","539","($3.8)","($5.1)","$0.4","($2.4)","($4.1)","($15.0)","$19.7","$5.7"
"Randal Grichuk","Blue Jays","OF","246.3","566","$2.6","($2.1)","($2.8)","$5.4","($10.7)","($7.5)","$11.8","$5.3"
"Edwin Encarnacion","Mariners","1B/DH","135.0","544","$0.5","($3.4)","($4.8)","$3.7","($2.0)","($6.0)","$10.3","$5.3"
"Eloy Jimenez","White Sox","OF","120.9","546","$1.0","($3.6)","($4.4)","$0.4","($1.1)","($7.7)","$11.8","$5.1"
"Eric Hosmer","Padres","1B","176.6","649","$0.1","($0.9)","($1.9)","($1.7)","($1.9)","($6.3)","$10.3","$5.0"
"David Dahl","Rockies","OF","70.9","565","$0.1","($2.8)","$1.2","($1.5)","($5.2)","($8.1)","$11.8","$4.7"
"Jake Bauers","Indians","1B/OF","236.6","582","($2.8)","($3.0)","$3.9","($4.6)","($1.8)","($8.3)","$11.8","$4.5"
"Justin Smoak","Blue Jays","1B","230.2","587","$0.3","($1.7)","($5.1)","$1.9","($2.5)","($7.2)","$10.3","$4.1"
"Stephen Piscotty","Athletics","OF","156.5","604","($0.8)","($1.2)","($3.3)","($2.1)","($1.8)","($9.2)","$11.8","$3.6"
"Ryan Braun","Brewers","OF","199.0","507","($2.3)","($5.0)","$1.6","($0.9)","($3.2)","($9.8)","$11.8","$3.0"
"Max Kepler","Twins","OF","234.8","595","($1.8)","($1.8)","($1.6)","($2.8)","($2.4)","($10.4)","$11.8","$2.5"
"Francisco Cervelli","Pirates","C","268.0","347","($17.4)","($17.0)","($4.1)","($14.0)","$1.4","($51.1)","$52.4","$2.3"
"Michael Brantley","Astros","OF","119.7","576","($2.1)","($2.4)","$0.3","($5.8)","($0.6)","($10.5)","$11.8","$2.3"
"Jake Lamb","Diamondbacks","3B","274.9","601","($1.3)","($3.2)","($2.2)","($1.8)","($2.4)","($11.0)","$11.8","$1.8"
"Rafael Devers","Red Sox","3B","146.6","533","($0.3)","($3.8)","($2.1)","($1.2)","($3.8)","($11.2)","$11.8","$1.6"
"Mallex Smith","Mariners","OF","104.3","628","($12.1)","($1.0)","$19.9","($14.4)","($3.9)","($11.4)","$11.8","$1.4"
"Jean Segura","Phillies","SS","60.8","641","($6.2)","$1.1","$7.2","($8.0)","($4.3)","($10.2)","$10.5","$1.3"
"Scooter Gennett","Reds","2B","91.3","601","($1.2)","($3.6)","($3.4)","($3.7)","($7.7)","($19.6)","$19.7","$1.1"
"Shohei Ohtani","Angels","DH","190.4","473","($1.3)","($4.5)","$0.3","$1.1","$1.3","($3.1)","$3.1","$1.0"
"Jesus Aguilar","Brewers","1B","80.1","578","$1.6","($3.0)","($5.4)","$3.2","($6.7)","($10.3)","$10.3","$1.0"
"Jorge Polanco","Twins","SS","225.2","637","($5.3)","$1.7","$4.2","($7.7)","($3.5)","($10.5)","$10.5","$1.0"
"Miguel Andujar","Yankees","3B","82.9","557","$1.0","($3.1)","($3.7)","($0.3)","($5.7)","($11.8)","$11.8","$1.0"
"Jorge Soler","Royals","OF","366.9","585","($1.8)","($3.6)","($3.2)","($0.6)","($2.6)","($11.8)","$11.8","$1.0"
"Jason Kipnis","Indians","2B","472.3","612","($4.6)","($1.8)","($1.1)","($6.2)","($6.0)","($19.7)","$19.7","$1.0"
"Chris Iannetta","Rockies","C","432.4","280","($17.8)","($18.4)","($5.3)","($11.2)","$0.4","($52.4)","$52.4","$1.0"
"Joc Pederson","Dodgers","OF","372.7","472","($4.3)","($6.3)","($2.3)","$0.7","$0.2","($11.9)","$11.8","$1.0"
"Corey Dickerson","Pirates","OF","203.5","603","$0.9","($2.3)","($1.9)","($1.9)","($6.9)","($12.0)","$11.8","$0.8"
"Victor Robles","Nationals","OF","95.0","567","($8.1)","($3.8)","$11.5","($9.3)","($2.6)","($12.4)","$11.8","$0.4"
"Jurickson Profar","Athletics","1B/3B/SS","126.9","637","($3.1)","$0.5","($0.8)","($5.7)","($2.8)","($11.8)","$10.5","($0.3)"
"Cesar Hernandez","Phillies","2B","175.2","606","($11.8)","($2.2)","$3.4","($11.7)","$0.8","($21.4)","$19.7","($0.7)"
"Omar Narvaez","Mariners","C","280.6","380","($17.0)","($16.4)","($4.8)","($13.8)","($2.2)","($54.2)","$52.4","($0.8)"
"Brandon Belt","Giants","1B","429.0","585","($4.0)","($3.3)","($3.4)","($4.2)","$2.7","($12.1)","$10.3","($0.8)"
"C.J. Cron","Twins","1B/DH","254.5","525","($0.3)","($4.1)","($4.0)","$1.2","($5.0)","($12.2)","$10.3","($0.9)"
"Miguel Sano","Twins","3B","244.5","527","($1.6)","($4.3)","($5.3)","$1.6","($4.1)","($13.7)","$11.8","($0.9)"
"Trey Mancini","Orioles","1B/OF","249.1","618","$0.7","($2.8)","($4.9)","$0.0","($7.0)","($14.1)","$11.8","($1.3)"
"A.J. Pollock","Dodgers","OF","111.7","560","($4.9)","($3.0)","$4.2","($3.7)","($6.8)","($14.1)","$11.8","($1.3)"
"Tyler Flowers","Braves","C","493.6","312","($17.4)","($18.6)","($5.3)","($12.0)","($1.4)","($54.7)","$52.4","($1.3)"
"Franmil Reyes","Padres","OF","230.6","553","($0.8)","($4.9)","($4.8)","$2.0","($5.8)","($14.3)","$11.8","($1.5)"
"Jesse Winker","Reds","OF","191.0","553","($6.8)","($3.2)","($4.0)","($7.1)","$6.5","($14.5)","$11.8","($1.7)"
"Maikel Franco","Phillies","3B","286.5","542","$0.3","($5.3)","($4.9)","$1.3","($6.1)","($14.8)","$11.8","($2.1)"
"Welington Castillo","White Sox","C","216.9","311","($16.6)","($18.2)","($5.1)","($9.8)","($6.1)","($55.7)","$52.4","($2.3)"
"Max Muncy","Dodgers","1B/3B","117.5","531","($4.2)","($4.9)","($3.9)","($1.5)","($0.9)","($15.5)","$11.8","($2.7)"
"Jonathan Schoop","Twins","2B","184.6","503","($2.8)","($6.8)","($4.7)","($1.3)","($7.8)","($23.4)","$19.7","($2.7)"
"Brandon Nimmo","Mets","OF","175.6","608","($10.0)","($0.7)","$0.3","($6.9)","$1.5","($15.8)","$11.8","($2.9)"
"Martin Maldonado","Royals","C","572.6","394","($15.8)","($15.9)","($4.6)","($11.6)","($8.5)","($56.3)","$52.4","($2.9)"
"Marcus Semien","Athletics","SS","232.1","624","($3.7)","($1.6)","$2.0","($4.5)","($6.9)","($14.7)","$10.5","($3.2)"
"Jorge Alfaro","Marlins","C","247.8","405","($15.0)","($17.4)","($4.4)","($11.0)","($9.3)","($57.3)","$52.4","($3.9)"
"Kole Calhoun","Angels","OF","460.9","602","($4.7)","($1.3)","($2.1)","($3.2)","($5.4)","($16.8)","$11.8","($4.0)"
"Jason Castro","Twins","C","586.3","327","($18.2)","($17.3)","($4.7)","($12.6)","($4.9)","($57.6)","$52.4","($4.2)"
"Adam Frazier","Pirates","2B/OF","403.5","604","($10.6)","($2.3)","$1.2","($11.3)","($1.8)","($24.9)","$19.7","($4.2)"
"Ian Desmond","Rockies","1B/OF","141.7","506","($5.3)","($7.2)","$4.0","($5.2)","($3.5)","($17.2)","$11.8","($4.4)"
"Robinson Chirinos","Astros","C","239.7","278","($18.5)","($19.0)","($5.0)","($10.7)","($5.4)","($58.6)","$52.4","($5.2)"
"Grayson Greiner","Tigers","C","559.4","347","($17.7)","($17.8)","($4.9)","($13.1)","($5.4)","($58.9)","$52.4","($5.5)"
"Christin Stewart","Tigers","OF/DH","404.0","524","($3.4)","($5.2)","($5.1)","($0.9)","($3.7)","($18.4)","$11.8","($5.6)"
"Carlos Gonzalez","","OF","548.8","583","($1.3)","($4.7)","($3.0)","($2.0)","($7.5)","($18.6)","$11.8","($5.7)"
"Jose Peraza","Reds","SS","96.5","619","($6.6)","($3.0)","$8.4","($10.3)","($5.8)","($17.4)","$10.5","($5.9)"
"Austin Barnes","Dodgers","C","343.7","281","($20.5)","($20.0)","($2.8)","($14.6)","($1.7)","($59.6)","$52.4","($6.2)"
"Jackie Bradley Jr.","Red Sox","OF","220.3","532","($5.8)","($4.6)","$1.4","($6.5)","($3.6)","($19.1)","$11.8","($6.3)"
"Jeimer Candelario","Tigers","3B","477.3","618","($4.2)","($1.5)","($3.7)","($4.0)","($5.8)","($19.3)","$11.8","($6.5)"
